Date,Seasonal Factors,Weather,Public Holidays,Doctors,Nurses,Patients,Emergency Cases,ICU Admissions,Discharge Count,Available Beds
2000-02-16,Winter,Fog,0,76,192,344,67,27,286,442
2000-02-17,Winter,Cold,1,83,184,369,55,29,316,447
2000-02-18,Winter,Cold,0,75,188,315,60,23,236,421
2000-02-19,Winter,Fog,0,74,188,326,34,24,265,439
2000-02-20,Winter,Sunny,0,74,187,378,42,34,264,386
2000-02-21,Winter,Cloudy,0,81,191,368,71,27,278,410
2000-02-22,Winter,Sunny,0,81,212,302,34,23,222,420
2000-02-23,Winter,Sunny,0,76,226,337,58,33,241,404
2000-02-24,Winter,Cold,0,80,180,376,54,22,299,423
2000-02-25,Winter,Sunny,1,87,218,354,49,30,292,438
2000-02-26,Winter,Fog,0,75,192,333,55,24,236,403
2000-02-27,Winter,Fog,0,70,205,367,63,33,267,400
2000-02-28,Winter,Fog,0,82,175,364,70,25,322,458
2000-02-29,Winter,Fog,1,79,207,383,48,24,285,402
2000-03-01,Summer,Sunny,0,76,169,293,49,17,249,456
2000-03-02,Summer,Sunny,0,83,204,316,42,29,268,452
2000-03-03,Summer,Heatwave,0,84,203,337,57,28,257,420
2000-03-04,Summer,Sunny,1,68,202,318,36,17,235,417
2000-03-05,Summer,Sunny,0,76,188,289,42,24,216,427
2000-03-06,Summer,Sunny,0,91,208,330,39,17,268,438
2000-03-07,Summer,Sunny,0,82,205,351,46,20,272,421
2000-03-08,Summer,Heatwave,0,83,196,352,60,28,281,429
2000-03-09,Summer,Sunny,0,85,210,290,35,21,250,460
2000-03-10,Summer,Cloudy,0,80,198,293,49,26,234,441
2000-03-11,Summer,Heatwave,0,83,207,274,40,22,246,472
2000-03-12,Summer,Sunny,0,83,198,302,32,29,251,449
2000-03-13,Summer,Sunny,0,82,203,273,37,25,202,429
2000-03-14,Summer,Heatwave,1,78,208,306,57,20,244,438
2000-03-15,Summer,Heatwave,0,80,194,317,63,29,273,456
2000-03-16,Summer,Heatwave,0,77,181,309,42,28,229,420
2000-03-17,Summer,Heatwave,0,80,204,254,26,25,214,460
2000-03-18,Summer,Sunny,0,74,217,339,38,17,239,400
2000-03-19,Summer,Sunny,0,76,204,272,48,25,241,469
2000-03-20,Summer,Sunny,0,78,204,275,45,14,228,453
2000-03-21,Summer,Cloudy,1,75,199,289,37,22,211,422
2000-03-22,Summer,Heatwave,0,77,211,283,39,20,247,464
2000-03-23,Summer,Sunny,1,79,197,297,53,28,212,415
2000-03-24,Summer,Sunny,0,82,193,278,39,19,217,439
2000-03-25,Summer,Sunny,0,84,216,238,41,18,201,463
2000-03-26,Summer,Sunny,0,77,192,303,39,25,268,465
2000-03-27,Summer,Heatwave,0,86,213,305,52,15,234,429
2000-03-28,Summer,Heatwave,0,84,216,356,52,28,308,452
2000-03-29,Summer,Cloudy,1,82,208,332,51,25,245,413
2000-03-30,Summer,Sunny,0,80,181,287,45,22,202,415
2000-03-31,Summer,Sunny,0,81,200,269,39,14,189,420
2000-04-01,Summer,Heatwave,0,85,196,297,43,15,246,449
2000-04-02,Summer,Heatwave,0,86,192,311,39,18,227,416
2000-04-03,Summer,Sunny,0,86,202,287,56,26,203,416
2000-04-04,Summer,Heatwave,0,80,211,301,57,20,269,468
2000-04-05,Summer,Sunny,0,82,193,347,53,24,259,412
2000-04-06,Summer,Sunny,0,86,197,290,30,20,229,439
2000-04-07,Summer,Sunny,0,76,196,252,29,21,207,455
2000-04-08,Summer,Sunny,0,78,217,321,59,20,233,412
2000-04-09,Summer,Sunny,0,80,196,307,59,16,236,429
2000-04-10,Summer,Sunny,0,84,181,257,29,17,213,456
2000-04-11,Summer,Heatwave,0,84,176,310,53,26,256,446
2000-04-12,Summer,Sunny,0,78,205,275,44,26,238,463
2000-04-13,Summer,Sunny,0,72,188,311,40,16,244,433
2000-04-14,Summer,Cloudy,1,81,210,367,52,33,322,455
2000-04-15,Summer,Sunny,0,75,180,295,49,15,246,451
2000-04-16,Summer,Sunny,0,72,191,327,36,21,265,438
2000-04-17,Summer,Heatwave,0,73,180,269,31,13,194,425
2000-04-18,Summer,Sunny,0,81,206,262,27,25,213,451
2000-04-19,Summer,Sunny,0,86,209,350,66,29,286,436
2000-04-20,Summer,Sunny,0,80,205,307,48,21,261,454
2000-04-21,Summer,Sunny,0,81,183,315,47,21,265,450
2000-04-22,Summer,Cloudy,0,85,188,328,55,26,264,436
2000-04-23,Summer,Heatwave,0,72,203,286,56,15,234,448
2000-04-24,Summer,Heatwave,0,82,174,320,37,18,273,453
2000-04-25,Summer,Cloudy,0,79,196,316,35,29,243,427
2000-04-26,Summer,Heatwave,0,82,222,267,34,16,194,427
2000-04-27,Summer,Sunny,0,77,197,337,64,29,294,457
2000-04-28,Summer,Cloudy,1,75,177,352,49,21,314,462
2000-04-29,Summer,Sunny,0,80,190,267,47,14,209,442
2000-04-30,Summer,Heatwave,0,88,190,305,36,28,273,468
2000-05-01,Summer,Cloudy,0,84,232,294,43,27,224,430
2000-05-02,Summer,Sunny,0,77,224,335,37,26,238,403
2000-05-03,Summer,Sunny,0,73,210,264,37,19,215,451
2000-05-04,Summer,Sunny,0,71,194,390,49,30,340,450
2000-05-05,Summer,Sunny,0,86,218,295,45,20,242,447
2000-05-06,Summer,Heatwave,0,75,182,318,56,27,223,405
2000-05-07,Summer,Cloudy,0,78,216,334,64,29,234,400
2000-05-08,Summer,Sunny,0,86,213,295,37,26,249,454
2000-05-09,Summer,Sunny,0,71,197,297,51,22,258,461
2000-05-10,Summer,Sunny,0,87,217,287,54,25,215,428
2000-05-11,Summer,Sunny,0,78,193,277,31,16,219,442
2000-05-12,Summer,Sunny,0,74,181,306,48,15,273,467
2000-05-13,Summer,Sunny,1,78,214,316,50,26,250,434
2000-05-14,Summer,Cloudy,0,76,198,287,36,15,208,421
2000-05-15,Summer,Sunny,0,82,209,288,29,22,254,466
2000-05-16,Summer,Sunny,0,76,227,314,39,27,250,436
2000-05-17,Summer,Heatwave,0,70,189,280,44,19,215,435
2000-05-18,Summer,Sunny,0,78,197,293,35,15,210,417
2000-05-19,Summer,Cloudy,0,73,223,322,41,30,254,432
2000-05-20,Summer,Cloudy,0,81,210,306,52,15,261,455
2000-05-21,Summer,Sunny,0,74,189,273,38,25,230,457
2000-05-22,Summer,Sunny,0,77,185,299,31,15,238,439
2000-05-23,Summer,Sunny,0,80,192,310,43,26,261,451
2000-05-24,Summer,Sunny,0,78,188,324,64,31,249,425
2000-05-25,Summer,Sunny,0,81,203,281,35,26,238,457
2000-05-26,Summer,Heatwave,1,83,201,306,38,28,219,413
2000-05-27,Summer,Sunny,1,74,204,302,35,28,223,421
2000-05-28,Summer,Sunny,0,79,187,283,35,21,247,464
2000-05-29,Summer,Sunny,0,63,198,310,48,24,235,425
2000-05-30,Summer,Cloudy,0,81,169,314,61,25,232,418
2000-05-31,Summer,Sunny,1,78,202,346,55,32,248,402
2000-06-01,Monsoon,Rainy,0,75,217,357,50,32,277,420
2000-06-02,Monsoon,Rainy,0,81,178,324,45,28,231,407
2000-06-03,Monsoon,Cloudy,0,85,207,376,38,31,300,424
2000-06-04,Monsoon,Rainy,0,77,190,363,36,29,320,457
2000-06-05,Monsoon,Storm,0,75,212,361,64,34,309,448
2000-06-06,Monsoon,Cloudy,0,80,202,327,48,19,231,404
2000-06-07,Monsoon,Rainy,0,73,206,355,36,21,269,414
2000-06-08,Monsoon,Storm,0,76,200,330,42,32,243,413
2000-06-09,Monsoon,Rainy,0,86,219,372,50,28,265,393
2000-06-10,Monsoon,Storm,0,80,205,349,62,25,251,402
2000-06-11,Monsoon,Storm,0,70,189,347,49,32,305,458
2000-06-12,Monsoon,Rainy,0,71,201,321,57,29,244,423
2000-06-13,Monsoon,Rainy,0,80,194,385,62,22,299,414
2000-06-14,Monsoon,Cloudy,0,84,202,353,36,20,281,428
2000-06-15,Monsoon,Rainy,0,71,193,362,71,32,307,445
2000-06-16,Monsoon,Rainy,1,82,189,361,42,32,310,449
2000-06-17,Monsoon,Rainy,0,86,202,318,40,19,283,465
2000-06-18,Monsoon,Rainy,0,89,200,346,62,31,256,410
2000-06-19,Monsoon,Storm,0,81,215,350,41,25,266,416
2000-06-20,Monsoon,Rainy,0,82,193,367,51,26,279,412
2000-06-21,Monsoon,Rainy,0,69,170,351,65,34,276,425
2000-06-22,Monsoon,Rainy,0,90,194,342,55,25,294,452
2000-06-23,Monsoon,Storm,0,77,175,322,41,18,240,418
2000-06-24,Monsoon,Rainy,0,75,206,361,59,23,309,448
2000-06-25,Monsoon,Storm,0,78,174,340,61,22,251,411
2000-06-26,Monsoon,Rainy,0,87,185,393,55,38,330,437
2000-06-27,Monsoon,Cloudy,0,91,194,363,57,22,312,449
2000-06-28,Monsoon,Rainy,0,80,223,374,74,26,325,451
2000-06-29,Monsoon,Rainy,0,84,183,353,69,30,283,430
2000-06-30,Monsoon,Rainy,0,80,200,365,55,23,279,414
2000-07-01,Monsoon,Cloudy,0,74,208,337,36,28,287,450
2000-07-02,Monsoon,Cloudy,1,87,222,350,59,21,267,417
2000-07-03,Monsoon,Rainy,0,76,211,360,45,22,262,402
2000-07-04,Monsoon,Storm,0,87,216,374,62,37,324,450
2000-07-05,Monsoon,Cloudy,0,86,212,311,42,21,243,432
2000-07-06,Monsoon,Rainy,0,83,181,347,59,30,282,435
2000-07-07,Monsoon,Rainy,0,89,205,406,55,37,358,452
2000-07-08,Monsoon,Rainy,0,91,212,371,72,24,269,398
2000-07-09,Monsoon,Rainy,0,79,185,398,45,27,322,424
2000-07-10,Monsoon,Cloudy,0,75,191,344,36,30,279,435
2000-07-11,Monsoon,Cloudy,0,70,187,348,61,27,303,455
2000-07-12,Monsoon,Storm,0,91,211,384,53,26,295,411
2000-07-13,Monsoon,Rainy,0,77,198,375,54,32,292,417
2000-07-14,Monsoon,Rainy,0,85,195,357,69,33,286,429
2000-07-15,Monsoon,Storm,0,76,180,328,52,20,240,412
2000-07-16,Monsoon,Cloudy,0,87,198,388,64,19,308,420
2000-07-17,Monsoon,Cloudy,0,76,191,422,43,26,332,410
2000-07-18,Monsoon,Cloudy,0,74,203,320,53,26,236,416
2000-07-19,Monsoon,Storm,0,78,182,395,54,37,342,447
2000-07-20,Monsoon,Rainy,0,77,202,348,50,32,273,425
2000-07-21,Monsoon,Rainy,0,82,193,351,63,21,267,416
2000-07-22,Monsoon,Cloudy,0,79,181,366,55,34,265,399
2000-07-23,Monsoon,Storm,0,83,180,329,65,29,236,407
2000-07-24,Monsoon,Rainy,0,78,182,359,64,31,320,461
2000-07-25,Monsoon,Rainy,0,76,196,319,55,26,286,467
2000-07-26,Monsoon,Storm,0,77,201,371,58,33,326,455
2000-07-27,Monsoon,Rainy,0,90,204,415,58,38,328,413
2000-07-28,Monsoon,Rainy,0,81,204,344,36,31,296,452
2000-07-29,Monsoon,Rainy,0,70,188,355,36,19,307,452
2000-07-30,Monsoon,Storm,0,77,215,357,37,30,271,414
2000-07-31,Monsoon,Storm,1,80,193,404,79,37,330,426
2000-08-01,Monsoon,Rainy,0,89,206,370,48,21,329,459
2000-08-02,Monsoon,Storm,0,85,197,383,65,23,289,406
2000-08-03,Monsoon,Rainy,0,75,205,347,55,30,288,441
2000-08-04,Monsoon,Rainy,0,92,196,370,58,24,308,438
2000-08-05,Monsoon,Storm,0,79,205,275,43,19,217,442
2000-08-06,Monsoon,Storm,0,86,199,376,48,25,300,424
2000-08-07,Monsoon,Cloudy,0,74,212,329,62,19,260,431
2000-08-08,Monsoon,Storm,0,68,187,351,67,34,282,431
2000-08-09,Monsoon,Rainy,0,72,173,378,62,34,275,397
2000-08-10,Monsoon,Rainy,1,63,185,341,63,21,292,451
2000-08-11,Monsoon,Rainy,0,90,216,387,41,21,322,435
2000-08-12,Monsoon,Rainy,0,81,197,356,39,24,318,462
2000-08-13,Monsoon,Rainy,0,75,201,396,61,28,296,400
2000-08-14,Monsoon,Cloudy,0,82,184,337,62,16,245,408
2000-08-15,Monsoon,Rainy,0,80,200,314,41,29,241,427
2000-08-16,Monsoon,Cloudy,0,83,184,359,55,33,287,428
2000-08-17,Monsoon,Storm,0,86,186,374,37,34,277,403
2000-08-18,Monsoon,Cloudy,0,78,193,376,74,33,297,421
2000-08-19,Monsoon,Rainy,0,75,206,331,58,28,274,443
2000-08-20,Monsoon,Rainy,0,84,208,319,43,26,226,407
2000-08-21,Monsoon,Rainy,0,84,208,352,69,34,299,447
2000-08-22,Monsoon,Rainy,0,80,176,372,40,31,330,458
2000-08-23,Monsoon,Storm,0,90,199,371,54,30,279,408
2000-08-24,Monsoon,Rainy,0,77,197,399,42,35,341,442
2000-08-25,Monsoon,Rainy,0,75,177,350,46,21,274,424
2000-08-26,Monsoon,Storm,0,82,200,313,38,30,260,447
2000-08-27,Monsoon,Rainy,0,76,196,389,51,19,330,441
2000-08-28,Monsoon,Cloudy,1,82,207,384,74,31,291,407
2000-08-29,Monsoon,Cloudy,0,75,201,367,52,19,314,447
2000-08-30,Monsoon,Cloudy,1,77,191,399,52,36,287,388
2000-08-31,Monsoon,Rainy,0,89,213,391,64,38,350,459
2000-09-01,Post Monsoon,Cloudy,0,77,166,319,53,22,244,425
2000-09-02,Post Monsoon,Humid,0,76,199,349,69,32,259,410
2000-09-03,Post Monsoon,Sunny,0,85,173,333,51,22,242,409
2000-09-04,Post Monsoon,Humid,0,74,186,303,53,17,261,458
2000-09-05,Post Monsoon,Humid,1,76,207,334,46,21,272,438
2000-09-06,Post Monsoon,Humid,0,82,180,335,39,21,298,463
2000-09-07,Post Monsoon,Cloudy,0,84,178,302,43,24,250,448
2000-09-08,Post Monsoon,Cloudy,0,86,235,342,48,30,262,420
2000-09-09,Post Monsoon,Humid,0,76,179,323,45,19,280,457
2000-09-10,Post Monsoon,Cloudy,0,82,224,329,55,17,248,419
2000-09-11,Post Monsoon,Cloudy,0,77,197,356,50,21,269,413
2000-09-12,Post Monsoon,Sunny,0,76,192,328,64,21,231,403
2000-09-13,Post Monsoon,Humid,0,86,208,321,63,20,240,419
2000-09-14,Post Monsoon,Sunny,0,77,220,317,48,19,238,421
2000-09-15,Post Monsoon,Sunny,0,81,182,316,49,23,240,424
2000-09-16,Post Monsoon,Cloudy,0,80,192,327,46,30,253,426
2000-09-17,Post Monsoon,Sunny,0,74,212,354,47,19,288,434
2000-09-18,Post Monsoon,Humid,0,84,204,304,60,28,225,421
2000-09-19,Post Monsoon,Cloudy,0,82,216,302,31,22,249,447
2000-09-20,Post Monsoon,Sunny,1,70,207,372,52,30,270,398
2000-09-21,Post Monsoon,Humid,1,81,227,325,37,29,288,463
2000-09-22,Post Monsoon,Sunny,0,76,202,325,56,21,229,404
2000-09-23,Post Monsoon,Sunny,0,85,203,305,36,29,268,463
2000-09-24,Post Monsoon,Sunny,1,72,204,298,56,16,241,443
2000-09-25,Post Monsoon,Cloudy,0,78,197,324,44,24,272,448
2000-09-26,Post Monsoon,Cloudy,0,81,212,347,66,21,263,416
2000-09-27,Post Monsoon,Humid,0,80,203,318,63,22,233,415
2000-09-28,Post Monsoon,Humid,0,83,211,282,49,20,250,468
2000-09-29,Post Monsoon,Humid,0,72,214,322,52,30,253,431
2000-09-30,Post Monsoon,Humid,0,88,206,301,34,21,239,438
2000-10-01,Post Monsoon,Sunny,0,82,207,254,49,21,227,473
2000-10-02,Post Monsoon,Sunny,0,86,184,317,56,30,243,426
2000-10-03,Post Monsoon,Sunny,0,84,191,332,42,24,239,407
2000-10-04,Post Monsoon,Sunny,0,79,212,349,51,24,285,436
2000-10-05,Post Monsoon,Sunny,0,73,221,363,38,35,294,431
2000-10-06,Post Monsoon,Sunny,0,77,170,336,55,30,287,451
2000-10-07,Post Monsoon,Humid,0,87,191,343,38,33,305,462
2000-10-08,Post Monsoon,Cloudy,0,86,200,287,47,20,218,431
2000-10-09,Post Monsoon,Cloudy,0,76,186,360,60,30,303,443
2000-10-10,Post Monsoon,Cloudy,1,65,187,371,49,23,291,420
2000-10-11,Post Monsoon,Sunny,0,78,207,310,60,28,265,455
2000-10-12,Post Monsoon,Cloudy,0,78,223,337,59,32,246,409
2000-10-13,Post Monsoon,Sunny,0,78,169,334,49,21,267,433
2000-10-14,Post Monsoon,Sunny,0,82,197,356,68,19,254,398
2000-10-15,Post Monsoon,Cloudy,0,84,206,316,58,18,256,440
2000-10-16,Post Monsoon,Sunny,0,84,211,301,50,24,220,419
2000-10-17,Post Monsoon,Cloudy,0,82,204,307,35,19,273,466
2000-10-18,Post Monsoon,Cloudy,0,70,226,342,51,28,277,435
2000-10-19,Post Monsoon,Humid,0,78,200,272,50,18,219,447
2000-10-20,Post Monsoon,Cloudy,0,91,219,245,39,23,219,474
2000-10-21,Post Monsoon,Cloudy,0,81,190,342,52,24,273,431
2000-10-22,Post Monsoon,Sunny,0,81,200,326,63,24,272,446
2000-10-23,Post Monsoon,Sunny,0,81,181,320,32,21,226,406
2000-10-24,Post Monsoon,Cloudy,0,82,213,287,29,15,241,454
2000-10-25,Post Monsoon,Sunny,0,68,198,277,52,20,199,422
2000-10-26,Post Monsoon,Cloudy,0,78,205,304,31,26,260,456
2000-10-27,Post Monsoon,Cloudy,0,79,195,329,43,32,287,458
2000-10-28,Post Monsoon,Sunny,0,86,208,305,58,16,232,427
2000-10-29,Post Monsoon,Sunny,0,80,205,342,57,30,299,457
2000-10-30,Post Monsoon,Sunny,0,71,185,296,48,18,235,439
2000-10-31,Post Monsoon,Sunny,0,82,185,307,50,27,249,442
2000-11-01,Post Monsoon,Humid,0,75,199,337,44,22,263,426
2000-11-02,Post Monsoon,Sunny,1,73,209,330,50,18,262,432
2000-11-03,Post Monsoon,Cloudy,0,75,227,311,50,25,274,463
2000-11-04,Post Monsoon,Sunny,0,82,204,303,39,28,269,466
2000-11-05,Post Monsoon,Cloudy,0,86,215,299,53,17,235,436
2000-11-06,Post Monsoon,Sunny,0,82,175,328,43,16,263,435
2000-11-07,Post Monsoon,Cloudy,0,83,230,332,35,31,240,408
2000-11-08,Post Monsoon,Cloudy,0,82,209,325,39,27,248,423
2000-11-09,Post Monsoon,Humid,1,80,199,324,45,29,260,436
2000-11-10,Post Monsoon,Humid,0,83,197,314,59,16,232,418
2000-11-11,Post Monsoon,Sunny,0,67,183,359,50,33,292,433
2000-11-12,Post Monsoon,Sunny,0,80,187,284,30,20,237,453
2000-11-13,Post Monsoon,Cloudy,0,74,228,367,43,34,304,437
2000-11-14,Post Monsoon,Cloudy,0,85,185,322,49,17,253,431
2000-11-15,Post Monsoon,Cloudy,0,79,184,315,37,29,268,453
2000-11-16,Post Monsoon,Sunny,0,80,189,343,36,28,262,419
2000-11-17,Post Monsoon,Sunny,0,72,182,268,45,20,212,444
2000-11-18,Post Monsoon,Sunny,0,85,200,354,63,18,266,412
2000-11-19,Post Monsoon,Cloudy,0,83,216,366,67,30,300,434
2000-11-20,Post Monsoon,Humid,0,82,190,347,63,27,273,426
2000-11-21,Post Monsoon,Sunny,0,75,179,267,36,23,198,431
2000-11-22,Post Monsoon,Sunny,0,76,204,339,58,29,258,419
2000-11-23,Post Monsoon,Sunny,0,81,199,361,57,26,272,411
2000-11-24,Post Monsoon,Sunny,0,76,215,358,36,21,315,457
2000-11-25,Post Monsoon,Cloudy,1,82,193,304,42,29,244,440
2000-11-26,Post Monsoon,Cloudy,0,69,196,345,36,33,286,441
2000-11-27,Post Monsoon,Sunny,0,77,197,364,39,22,322,458
2000-11-28,Post Monsoon,Cloudy,0,88,201,320,33,26,235,415
2000-11-29,Post Monsoon,Cloudy,0,82,194,283,55,17,251,468
2000-11-30,Post Monsoon,Cloudy,0,80,191,340,62,31,274,434
2000-12-01,Winter,Fog,0,89,172,366,52,20,318,452
2000-12-02,Winter,Sunny,0,68,191,336,41,33,246,410
2000-12-03,Winter,Cloudy,0,75,210,310,33,24,233,423
2000-12-04,Winter,Cold,0,77,212,364,52,18,268,404
2000-12-05,Winter,Fog,0,84,192,320,51,30,265,445
2000-12-06,Winter,Cold,0,84,219,349,62,29,254,405
2000-12-07,Winter,Cold,0,75,199,378,39,32,324,446
2000-12-08,Winter,Fog,0,84,179,298,42,18,223,425
2000-12-09,Winter,Cold,0,77,175,362,71,24,271,409
2000-12-10,Winter,Cold,0,86,218,334,37,31,252,418
2000-12-11,Winter,Cloudy,0,74,194,335,46,27,284,449
2000-12-12,Winter,Cloudy,0,79,181,352,44,17,311,459
2000-12-13,Winter,Fog,0,77,166,320,36,21,282,462
2000-12-14,Winter,Cold,0,85,194,310,57,24,223,413
2000-12-15,Winter,Cloudy,0,77,206,295,50,16,221,426
2000-12-16,Winter,Cold,0,79,189,370,52,20,308,438
2000-12-17,Winter,Sunny,0,82,184,330,45,17,271,441
2000-12-18,Winter,Cloudy,0,82,191,354,64,28,272,418
2000-12-19,Winter,Fog,0,84,218,327,35,21,285,458
2000-12-20,Winter,Fog,1,81,179,330,37,22,239,409
2000-12-21,Winter,Cloudy,0,77,190,356,67,18,294,438
2000-12-22,Winter,Fog,1,78,218,368,66,31,277,409
2000-12-23,Winter,Cold,0,80,207,334,59,29,269,435
2000-12-24,Winter,Sunny,0,81,202,347,56,31,269,422
2000-12-25,Winter,Cold,1,79,190,335,43,27,300,465
2000-12-26,Winter,Cold,0,80,200,366,70,32,291,425
2000-12-27,Winter,Cloudy,0,72,191,372,55,29,333,461
2000-12-28,Winter,Cold,0,83,187,358,45,26,268,410
2000-12-29,Winter,Cold,0,80,183,330,45,20,281,451
2000-12-30,Winter,Sunny,0,85,211,341,34,17,287,446
2000-12-31,Winter,Cold,0,80,199,379,47,24,329,450
2001-01-01,Winter,Sunny,0,71,204,372,44,31,312,440
2001-01-02,Winter,Sunny,0,78,202,389,44,37,325,436
2001-01-03,Winter,Fog,0,79,206,320,33,20,266,446
2001-01-04,Winter,Fog,0,83,196,318,39,26,285,467
2001-01-05,Winter,Fog,0,69,192,343,37,25,255,412
2001-01-06,Winter,Fog,0,80,187,350,36,28,247,397
2001-01-07,Winter,Fog,0,82,178,336,38,16,280,444
2001-01-08,Winter,Cloudy,0,76,183,330,39,18,242,412
2001-01-09,Winter,Fog,1,80,194,391,55,23,326,435
2001-01-10,Winter,Fog,0,76,175,337,53,31,257,420
2001-01-11,Winter,Sunny,0,76,179,309,40,16,218,409
2001-01-12,Winter,Fog,0,77,215,312,35,24,266,454
2001-01-13,Winter,Sunny,0,76,203,346,67,33,245,399
2001-01-14,Winter,Fog,0,83,193,415,62,34,309,394
2001-01-15,Winter,Fog,1,76,234,335,58,24,257,422
2001-01-16,Winter,Cloudy,0,75,175,332,56,23,241,409
2001-01-17,Winter,Cloudy,0,88,214,400,51,32,353,453
2001-01-18,Winter,Sunny,0,84,198,327,51,24,269,442
2001-01-19,Winter,Cloudy,0,70,211,351,56,29,307,456
2001-01-20,Winter,Sunny,0,76,201,386,52,31,322,436
2001-01-21,Winter,Fog,0,81,171,316,52,24,283,467
2001-01-22,Winter,Fog,0,81,201,332,59,32,267,435
2001-01-23,Winter,Cloudy,0,72,205,327,44,30,232,405
2001-01-24,Winter,Sunny,0,85,167,302,30,24,221,419
2001-01-25,Winter,Sunny,0,84,229,379,51,29,309,430
2001-01-26,Winter,Cold,0,82,204,325,36,28,250,425
2001-01-27,Winter,Cold,1,86,210,338,39,30,244,406
2001-01-28,Winter,Cloudy,0,82,182,328,44,21,245,417
2001-01-29,Winter,Fog,0,82,210,363,43,30,288,425
2001-01-30,Winter,Sunny,1,87,216,362,70,20,290,428
2001-01-31,Winter,Sunny,0,85,203,320,52,22,283,463
2001-02-01,Winter,Cold,0,75,199,350,53,33,251,401
2001-02-02,Winter,Cloudy,1,83,186,380,38,25,293,413
2001-02-03,Winter,Cloudy,0,76,196,339,37,19,271,432
2001-02-04,Winter,Fog,0,82,192,334,59,19,241,407
2001-02-05,Winter,Sunny,0,82,208,365,50,25,305,440
2001-02-06,Winter,Cold,0,73,187,335,35,20,269,434
2001-02-07,Winter,Sunny,0,79,208,380,69,27,300,420
2001-02-08,Winter,Fog,0,81,187,321,41,27,266,445
2001-02-09,Winter,Sunny,0,77,196,320,44,30,242,422
2001-02-10,Winter,Cold,1,81,209,337,66,18,258,421
2001-02-11,Winter,Fog,0,84,189,334,33,29,244,410
2001-02-12,Winter,Sunny,0,79,209,340,58,18,273,433
2001-02-13,Winter,Fog,0,81,208,306,59,21,236,430
2001-02-14,Winter,Fog,0,86,195,342,36,34,257,415
2001-02-15,Winter,Sunny,0,82,217,354,66,18,256,402
2001-02-16,Winter,Sunny,0,81,201,303,42,15,213,410
2001-02-17,Winter,Cold,0,75,216,326,61,21,240,414
2001-02-18,Winter,Cloudy,0,83,226,354,46,34,265,411
2001-02-19,Winter,Cold,1,81,196,332,65,16,264,432
